batch_index,delta_i,theta_i,shots_i,success_raw,success_qec,p_i
0,-0.01224072675713965,-0.07691075450965987,8,1.0,1.0,0.0
1,0.003775881983015979,0.02372456619733012,8,1.0,1.0,0.0
